Day,Route,Distance (miles),Climb (m),Descent (m),Accommodation Option 1,Type,Est. Cost pp,Accommodation Option 2,Type,Est. Cost pp,Accommodation Option 3,Type,Est. Cost pp,Notes & Highlights
TRAVEL,Bradford-on-Avon → Winchester,-,-,-,The Old Vine,Hotel/Restaurant,£80-120,Winchester Hotel,Mid-range hotel,£60-80,King Alfred Pub,Pub rooms,£50-70,"Explore Winchester Cathedral, Great Hall with Round Table, River Itchen. Check in early afternoon if possible."
Day 1,Winchester → Exton,12,300,260,Manor House B&B Exton,B&B,£60-80,Milburys Pub (on trail),Pub,£50-65,The Shoe Inn Exton,Pub,£55-70,"St Catherine's Hill views, Beacon Hill NNR (201m, wildflowers & butterflies), cross River Meon. Milburys is ON the trail."
Day 2,Exton → Buriton,11-12.5,380,350,Five Bells Buriton,Pub (highly rec),£55-75,Copper Beeches B&B,B&B,£65-85,QE Country Park camping,Campsite,£15-20,"Old Winchester Hill (Iron Age fort), Butser Hill 270m (HIGHEST point on trail), Queen Elizabeth Country Park. Five Bells excellent food."
Day 3,Buriton → Cocking,11-12,340,360,Blue Bell Inn Cocking,Pub/B&B,£50-70,Hysett House B&B,B&B,£60-75,Manor Farm Campsite,Campsite,£10-15,"Harting Down (fantastic views to North Downs), Devil's Jumps (Bronze Age barrows), woodland sections. A286 crossing - bail-out point."
Day 4,Cocking → Amberley,12,350,380,Black Horse Amberley,Pub (11 rooms),£65-85,Sportsman Inn,Pub/B&B,£50-70,South Downs Bunkhouse,Hostel,£30-40,"Bignor Hill, optional visit Bignor Roman Villa (1.5mi off trail). Amberley village is VERY pretty. Amberley Station on route - train bail-out."
Day 5,Amberley → Steyning/Upper Beeding,12,420,400,Various B&Bs Steyning,B&B,£55-75,Pubs in Upper Beeding,Pub,£50-70,Camping options nearby,Various,£12-18,"Chanctonbury Ring (Iron Age hillfort, said to be haunted!), Washington village, River Adur crossing. Good facilities in Steyning."
Day 6,Steyning → Pyecombe,12,380,350,Duck Lodge B&B,Log cabin+hot tub,£80-100,The Stables at Forge,Self-contained apt,£70-90,Waydown Shepherds Huts,Glamping,£65-75pp,"DEVIL'S DYKE (major highlight - 360° views!), Jack & Jill windmills, Ditchling Beacon option. ON the South Downs Way."
REST,Pyecombe (or Brighton),-,-,-,Brighton hotels/B&Bs,Various,£40-80pp,Brighton hostels,Hostel,£25-40pp,Brighton Airbnb,Private room,£35-60pp,"Pyecombe to Brighton: 15 min by bus/taxi (6 miles). Celebrate! Explore Brighton seafront, North Laine, pubs, restaurants."
REST,Brighton,-,-,-,Same as above,,,,,,,,"Optional 2nd rest night. Visit Royal Pavilion, beach, shopping, restaurants. Or do a day walk to Devil's Dyke if you bypassed it.",
TRAVEL,Brighton → Bradford-on-Avon,-,-,-,,,,,,,,,,Brighton to Bristol Temple Meads ~3hrs (change Reading/Bath). Bristol TM to Bradford-on-Avon ~15min.
